NVIS_ID,VEGCODE,FOREST_STR,VEGCODE_D,VEG_GROUP,MAPUNT_IDE
2110,DGL,Other,(DGL) Eucalyptus globulus dry forest and woodland,Dry eucalypt forest and woodland,2110
2111,DAD,Other,(DAD) Eucalyptus amygdalina forest and woodland on dolerite,Dry eucalypt forest and woodland,2111
2112,DAD,Other,(DAD) Eucalyptus amygdalina forest and woodland on dolerite,Dry eucalypt forest and woodland,2112
2113,DAD,Other,(DAD) Eucalyptus amygdalina forest and woodland on dolerite,Dry eucalypt forest and woodland,2113
2114,DAD,Other,(DAD) Eucalyptus amygdalina forest and woodland on dolerite,Dry eucalypt forest and woodland,2114
2115,DAZ,Other,(DAZ) Eucalyptus amygdalina inland forest and woodland on Cainozoic deposits,Dry eucalypt forest and woodland,2115
2116,DAZ,Other,(DAZ) Eucalyptus amygdalina inland forest and woodland on Cainozoic deposits,Dry eucalypt forest and woodland,2116
2117,DAZ,Other,(DAZ) Eucalyptus amygdalina inland forest and woodland on Cainozoic deposits,Dry eucalypt forest and woodland,2117
2118,DCR,Other,(DCR) Eucalyptus cordata forest,Dry eucalypt forest and woodland,2118
2119,DCR,Other,(DCR) Eucalyptus cordata forest,Dry eucalypt forest and woodland,2119
2120,DCR,Other,(DCR) Eucalyptus cordata forest,Dry eucalypt forest and woodland,2120
2121,DCR,Other,(DCR) Eucalyptus cordata forest,Dry eucalypt forest and woodland,2121
2122,DDE,Other,(DDE) Eucalyptus delegatensis dry forest and woodland,Dry eucalypt forest and woodland,2122
2123,DDE,Other,(DDE) Eucalyptus delegatensis dry forest and woodland,Dry eucalypt forest and woodland,2123
2124,DNF,Other,(DNF) Eucalyptus nitida Furneaux forest,Dry eucalypt forest and woodland,2124
2125,DNF,Other,(DNF) Eucalyptus nitida Furneaux forest,Dry eucalypt forest and woodland,2125
2126,DOB,Other,(DOB) Eucalyptus obliqua dry forest,Dry eucalypt forest and woodland,2126
2127,DOB,Other,(DOB) Eucalyptus obliqua dry forest,Dry eucalypt forest and woodland,2127
2128,DOV,Other,(DOV) Eucalyptus ovata forest and woodland,Dry eucalypt forest and woodland,2128
2129,DOV,Other,(DOV) Eucalyptus ovata forest and woodland,Dry eucalypt forest and woodland,2129
2130,DPO,Other,(DPO) Eucalyptus pauciflora forest and woodland not on dolerite,Dry eucalypt forest and woodland,2130
2131,DPO,Other,(DPO) Eucalyptus pauciflora forest and woodland not on dolerite,Dry eucalypt forest and woodland,2131
2132,DPD,Other,(DPD) Eucalyptus pauciflora forest and woodland on dolerite,Dry eucalypt forest and woodland,2132
2133,DRO,Other,(DRO) Eucalyptus rodwayi forest and woodland,Dry eucalypt forest and woodland,2133
2134,DRO,Other,(DRO) Eucalyptus rodwayi forest and woodland,Dry eucalypt forest and woodland,2134
2135,DSO,Other,(DSO) Eucalyptus sieberi forest and woodland not on granite,Dry eucalypt forest and woodland,2135
2136,DTD,Other,(DTD) Eucalyptus tenuiramis forest and woodland on dolerite,Dry eucalypt forest and woodland,2136
2137,DTG,Other,(DTG) Eucalyptus tenuiramis forest and woodland on granite,Dry eucalypt forest and woodland,2137
2138,DTO,Other,(DTO) Eucalyptus tenuiramis forest and woodland on sediments,Dry eucalypt forest and woodland,2138
2139,DGL,Woodland,(DGL) Eucalyptus globulus dry forest and woodland,Dry eucalypt forest and woodland,2139
2140,DGL,Woodland,(DGL) Eucalyptus globulus dry forest and woodland,Dry eucalypt forest and woodland,2140
2141,DGL,Woodland,(DGL) Eucalyptus globulus dry forest and woodland,Dry eucalypt forest and woodland,2141
2142,DAD,Woodland,(DAD) Eucalyptus amygdalina forest and woodland on dolerite,Dry eucalypt forest and woodland,2142
2143,DAD,Woodland,(DAD) Eucalyptus amygdalina forest and woodland on dolerite,Dry eucalypt forest and woodland,2143
2144,DAD,Woodland,(DAD) Eucalyptus amygdalina forest and woodland on dolerite,Dry eucalypt forest and woodland,2144
2145,DAZ,Woodland,(DAZ) Eucalyptus amygdalina inland forest and woodland on Cainozoic deposits,Dry eucalypt forest and woodland,2145
2146,DCR,Woodland,(DCR) Eucalyptus cordata forest,Dry eucalypt forest and woodland,2146
2147,DCR,Woodland,(DCR) Eucalyptus cordata forest,Dry eucalypt forest and woodland,2147
2148,DDE,Woodland,(DDE) Eucalyptus delegatensis dry forest and woodland,Dry eucalypt forest and woodland,2148
2149,DDE,Woodland,(DDE) Eucalyptus delegatensis dry forest and woodland,Dry eucalypt forest and woodland,2149
2150,DNF,Woodland,(DNF) Eucalyptus nitida Furneaux forest,Dry eucalypt forest and woodland,2150
2151,DOB,Woodland,(DOB) Eucalyptus obliqua dry forest,Dry eucalypt forest and woodland,2151
