NVIS_ID,MVG,MVG_CHANGE_CODE,VEGCODE,FOREST_STR,VEGCODE_D,VEG_GROUP
2118,3,Both,DCR,Other,(DCR) Eucalyptus cordata forest,Dry eucalypt forest and woodland
2119,3,Both,DCR,Other,(DCR) Eucalyptus cordata forest,Dry eucalypt forest and woodland
2120,3,Both,DCR,Other,(DCR) Eucalyptus cordata forest,Dry eucalypt forest and woodland
2121,3,Both,DCR,Other,(DCR) Eucalyptus cordata forest,Dry eucalypt forest and woodland
2122,3,Both,DDE,Other,(DDE) Eucalyptus delegatensis dry forest and woodland,Dry eucalypt forest and woodland
2123,3,Both,DDE,Other,(DDE) Eucalyptus delegatensis dry forest and woodland,Dry eucalypt forest and woodland
2124,3,Both,DNF,Other,(DNF) Eucalyptus nitida Furneaux forest,Dry eucalypt forest and woodland
2125,3,Both,DNF,Other,(DNF) Eucalyptus nitida Furneaux forest,Dry eucalypt forest and woodland
2126,3,Both,DOB,Other,(DOB) Eucalyptus obliqua dry forest,Dry eucalypt forest and woodland
2127,3,Both,DOB,Other,(DOB) Eucalyptus obliqua dry forest,Dry eucalypt forest and woodland
2128,3,Both,DOV,Other,(DOV) Eucalyptus ovata forest and woodland,Dry eucalypt forest and woodland
2129,3,Both,DOV,Other,(DOV) Eucalyptus ovata forest and woodland,Dry eucalypt forest and woodland
2130,3,Both,DPO,Other,(DPO) Eucalyptus pauciflora forest and woodland not on dolerite,Dry eucalypt forest and woodland
2131,3,Both,DPO,Other,(DPO) Eucalyptus pauciflora forest and woodland not on dolerite,Dry eucalypt forest and woodland
2132,3,Both,DPD,Other,(DPD) Eucalyptus pauciflora forest and woodland on dolerite,Dry eucalypt forest and woodland
2133,3,Both,DRO,Other,(DRO) Eucalyptus rodwayi forest and woodland,Dry eucalypt forest and woodland
2134,3,Both,DRO,Other,(DRO) Eucalyptus rodwayi forest and woodland,Dry eucalypt forest and woodland
2135,3,Both,DSO,Other,(DSO) Eucalyptus sieberi forest and woodland not on granite,Dry eucalypt forest and woodland
2136,3,Both,DTD,Other,(DTD) Eucalyptus tenuiramis forest and woodland on dolerite,Dry eucalypt forest and woodland
2137,3,Both,DTG,Other,(DTG) Eucalyptus tenuiramis forest and woodland on granite,Dry eucalypt forest and woodland
2138,3,Both,DTO,Other,(DTO) Eucalyptus tenuiramis forest and woodland on sediments,Dry eucalypt forest and woodland
2139,3,Both,DGL,Woodland,(DGL) Eucalyptus globulus dry forest and woodland,Dry eucalypt forest and woodland
2140,3,Both,DGL,Woodland,(DGL) Eucalyptus globulus dry forest and woodland,Dry eucalypt forest and woodland
2141,3,Both,DGL,Woodland,(DGL) Eucalyptus globulus dry forest and woodland,Dry eucalypt forest and woodland
2142,3,Both,DAD,Woodland,(DAD) Eucalyptus amygdalina forest and woodland on dolerite,Dry eucalypt forest and woodland
2143,3,Both,DAD,Woodland,(DAD) Eucalyptus amygdalina forest and woodland on dolerite,Dry eucalypt forest and woodland
2144,3,Both,DAD,Woodland,(DAD) Eucalyptus amygdalina forest and woodland on dolerite,Dry eucalypt forest and woodland
2145,3,Both,DAZ,Woodland,(DAZ) Eucalyptus amygdalina inland forest and woodland on Cainozoic deposits,Dry eucalypt forest and woodland
2146,3,Both,DCR,Woodland,(DCR) Eucalyptus cordata forest,Dry eucalypt forest and woodland
2147,3,Both,DCR,Woodland,(DCR) Eucalyptus cordata forest,Dry eucalypt forest and woodland
2148,3,Both,DDE,Woodland,(DDE) Eucalyptus delegatensis dry forest and woodland,Dry eucalypt forest and woodland
2149,3,Both,DDE,Woodland,(DDE) Eucalyptus delegatensis dry forest and woodland,Dry eucalypt forest and woodland
2150,3,Both,DNF,Woodland,(DNF) Eucalyptus nitida Furneaux forest,Dry eucalypt forest and woodland
2151,3,Both,DOB,Woodland,(DOB) Eucalyptus obliqua dry forest,Dry eucalypt forest and woodland
2152,3,Both,DOB,Woodland,(DOB) Eucalyptus obliqua dry forest,Dry eucalypt forest and woodland
2153,3,Both,DOB,Woodland,(DOB) Eucalyptus obliqua dry forest,Dry eucalypt forest and woodland
2154,3,Both,DOB,Woodland,(DOB) Eucalyptus obliqua dry forest,Dry eucalypt forest and woodland
2155,3,Both,DOV,Woodland,(DOV) Eucalyptus ovata forest and woodland,Dry eucalypt forest and woodland
2156,3,Both,DOV,Woodland,(DOV) Eucalyptus ovata forest and woodland,Dry eucalypt forest and woodland
2157,3,Both,DPO,Woodland,(DPO) Eucalyptus pauciflora forest and woodland not on dolerite,Dry eucalypt forest and woodland
2158,3,Both,DPD,Woodland,(DPD) Eucalyptus pauciflora forest and woodland on dolerite,Dry eucalypt forest and woodland
2159,3,Both,DRO,Woodland,(DRO) Eucalyptus rodwayi forest and woodland,Dry eucalypt forest and woodland
2160,3,Both,DSG,Woodland,(DSG) Eucalyptus sieberi forest and woodland on granite,Dry eucalypt forest and woodland
2161,3,Both,DSO,Woodland,(DSO) Eucalyptus sieberi forest and woodland not on granite,Dry eucalypt forest and woodland
2162,3,Both,DTD,Woodland,(DTD) Eucalyptus tenuiramis forest and woodland on dolerite,Dry eucalypt forest and woodland
2163,3,Both,DTD,Woodland,(DTD) Eucalyptus tenuiramis forest and woodland on dolerite,Dry eucalypt forest and woodland
2164,3,Both,DTG,Woodland,(DTG) Eucalyptus tenuiramis forest and woodland on granite,Dry eucalypt forest and woodland
2165,3,Both,DTO,Woodland,(DTO) Eucalyptus tenuiramis forest and woodland on sediments,Dry eucalypt forest and woodland
2166,3,Both,DTO,Woodland,(DTO) Eucalyptus tenuiramis forest and woodland on sediments,Dry eucalypt forest and woodland
2167,3,Both,DTO,Woodland,(DTO) Eucalyptus tenuiramis forest and woodland on sediments,Dry eucalypt forest and woodland
2168,3,Both,DVF,Woodland,(DVF) Eucalyptus viminalis Furneaux forest and woodland,Dry eucalypt forest and woodland
2169,3,Both,DVF,Woodland,(DVF) Eucalyptus viminalis Furneaux forest and woodland,Dry eucalypt forest and woodland
